1 | Max VerstappenVER | NED | Red Bull Racing Honda RBPT | 437 |
2 | Lando NorrisNOR | GBR | McLaren Mercedes | 374 |
3 | Charles LeclercLEC | MON | Ferrari | 356 |
4 | Oscar PiastriPIA | AUS | McLaren Mercedes | 292 |
5 | Carlos SainzSAI | ESP | Ferrari | 290 |
6 | George RussellRUS | GBR | Mercedes | 245 |
7 | Lewis HamiltonHAM | GBR | Mercedes | 223 |
8 | Sergio PerezPER | MEX | Red Bull Racing Honda RBPT | 152 |
9 | Fernando AlonsoALO | ESP | Aston Martin Aramco Mercedes | 70 |
10 | Pierre GaslyGAS | FRA | Alpine Renault | 42 |
11 | Nico HulkenbergHUL | GER | Haas Ferrari | 41 |
12 | Yuki TsunodaTSU | JPN | RB Honda RBPT | 30 |
13 | Lance StrollSTR | CAN | Aston Martin Aramco Mercedes | 24 |
14 | Esteban OconOCO | FRA | Alpine Renault | 23 |
15 | Kevin MagnussenMAG | DEN | Haas Ferrari | 16 |
16 | Alexander AlbonALB | THA | Williams Mercedes | 12 |
17 | Daniel RicciardoRIC | AUS | RB Honda RBPT | 12 |
18 | Oliver BearmanBEA | GBR | Haas Ferrari | 7 |
19 | Franco ColapintoCOL | ARG | Williams Mercedes | 5 |
20 | Zhou GuanyuZHO | CHN | Kick Sauber Ferrari | 4 |
21 | Liam LawsonLAW | NZL | RB Honda RBPT | 4 |
22 | Valtteri BottasBOT | FIN | Kick Sauber Ferrari | 0 |
23 | Logan SargeantSAR | USA | Williams Mercedes | 0 |
24 | Jack DoohanDOO | AUS | Alpine Renault | 0 |